,"RM","EN","EP","NB","BK","AS","MA",19,12,"LM","FV","CL","SL","BF","HY","SH","UC","FM","CN","PH","WC","LF","OR","RR","OW","EM","MT","PL","CC",16,24,"GP","BP","DC","CM","CV","ED","NC","WP","SS","SB","SO","MB"
"RM"," 7 "," 115 "," 118 "," 88 "," 392 "," 96 "," 130 "," 144 "," 174 "," 41 "," 103 "," 81 "," 44 "," 38 "," 43 "," 19 "," 10 "," 32 "," 23 "," 15 "," 23 "," 7 "," 7 "," 17 "," 28 "," 248 "," 222 "," 282 "," 231 "," 118 "," 115 "," 30 "," 47 "," 52 "," 13 "," 6 "," 22 "," 3 "," 35 "," 9 "," 10 "," 27 "," 20 "
"EN"," 141 "," 11 "," 109 "," 88 "," 908 "," 165 "," 270 "," 453 "," 625 "," 108 "," 143 "," 175 "," 64 "," 53 "," 85 "," 34 "," 32 "," 76 "," 48 "," 25 "," 29 "," 11 "," 13 "," 30 "," 43 "," 850 "," 824 "," 753 "," 678 "," 137 "," 152 "," 49 "," 88 "," 157 "," 18 "," 8 "," 34 "," 8 "," 43 "," 17 "," 26 "," 67 "," 33 "
"EP"," 122 "," 83 "," 6 "," 63 "," 650 "," 80 "," 135 "," 237 "," 293 "," 76 "," 60 "," 88 "," 27 "," 16 "," 33 "," 9 "," 10 "," 40 "," 23 "," 18 "," 25 "," 9 "," 14 "," 30 "," 12 "," 473 "," 518 "," 358 "," 342 "," 59 "," 44 "," 26 "," 38 "," 64 "," 3 "," 4 "," 16 "," 3 "," 13 "," 6 "," 5 "," 48 "," 14 "
"NB"," 81 "," 74 "," 63 "," 6 "," 204 "," 62 "," 88 "," 221 "," 245 "," 65 "," 76 "," 92 "," 24 "," 18 "," 20 "," 9 "," 11 "," 29 "," 20 "," 13 "," 20 "," 10 "," 8 "," 20 "," 17 "," 598 "," 590 "," 395 "," 407 "," 121 "," 71 "," 26 "," 29 "," 63 "," 3 "," 6 "," 15 "," 3 "," 12 "," 8 "," 6 "," 66 "," 22 "
"BK"," 418 "," 946 "," 662 "," 229 "," 17 "," 362 "," 473 "," 492 "," 573 "," 262 "," 298 "," 318 "," 162 "," 143 "," 145 "," 92 "," 163 "," 311 "," 115 "," 159 "," 144 "," 87 "," 64 "," 58 "," 83 "," 782 "," 709 "," 956 "," 769 "," 348 "," 304 "," 133 "," 100 "," 168 "," 41 "," 61 "," 152 "," 38 "," 94 "," 24 "," 33 "," 144 "," 124 "
"AS"," 98 "," 143 "," 75 "," 57 "," 302 "," 5 "," 94 "," 210 "," 227 "," 77 "," 112 "," 119 "," 45 "," 46 "," 44 "," 21 "," 21 "," 57 "," 26 "," 19 "," 31 "," 9 "," 11 "," 21 "," 40 "," 479 "," 488 "," 363 "," 379 "," 155 "," 100 "," 30 "," 42 "," 62 "," 8 "," 10 "," 32 "," 7 "," 30 "," 6 "," 7 "," 43 "," 19 "
"MA"," 143 "," 269 "," 129 "," 91 "," 425 "," 98 "," 11 "," 172 "," 240 "," 90 "," 170 "," 214 "," 119 "," 110 "," 118 "," 56 "," 78 "," 131 "," 116 "," 96 "," 117 "," 40 "," 44 "," 63 "," 77 "," 816 "," 841 "," 721 "," 698 "," 243 "," 192 "," 71 "," 89 "," 113 "," 24 "," 29 "," 76 "," 38 "," 152 "," 20 "," 19 "," 79 "," 31 "
19," 146 "," 457 "," 229 "," 229 "," 449 "," 208 "," 165 "," 11 "," 72 "," 49 "," 134 "," 185 "," 205 "," 203 "," 223 "," 161 "," 189 "," 390 "," 252 "," 330 "," 242 "," 147 "," 105 "," 164 "," 60 "," 774 "," 684 "," 600 "," 628 "," 228 "," 217 "," 134 "," 111 "," 157 "," 69 "," 60 "," 225 "," 118 "," 225 "," 61 "," 39 "," 39 "," 88 "
12," 185 "," 622 "," 292 "," 250 "," 492 "," 228 "," 239 "," 76 "," 16 "," 48 "," 248 "," 343 "," 351 "," 371 "," 298 "," 205 "," 238 "," 442 "," 319 "," 366 "," 316 "," 171 "," 147 "," 185 "," 90 "," 913 "," 856 "," 849 "," 753 "," 244 "," 263 "," 135 "," 141 "," 191 "," 103 "," 108 "," 333 "," 130 "," 272 "," 74 "," 57 "," 83 "," 104 "
"LM"," 38 "," 99 "," 73 "," 66 "," 273 "," 77 "," 91 "," 46 "," 47 "," 7 "," 164 "," 241 "," 256 "," 229 "," 171 "," 102 "," 119 "," 178 "," 35 "," 22 "," 28 "," 15 "," 12 "," 36 "," 44 "," 606 "," 603 "," 583 "," 423 "," 143 "," 109 "," 43 "," 67 "," 124 "," 10 "," 91 "," 221 "," 13 "," 32 "," 17 "," 9 "," 29 "," 18 "
