,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD
RM,12.9545454545455,143.863636363636,119.5,128.272727272727,519.909090909091,119.818181818182,169.090909090909,164.045454545455,218.863636363636,67.2727272727273,102.454545454545,98.3636363636364,44.8636363636364,36.5909090909091,52.8181818181818,23.7272727272727,24.0909090909091,40.4545454545455,28.7727272727273,13.3181818181818,22.7727272727273,8.90909090909091,12.4545454545455,22,27.3636363636364,349.409090909091,395.681818181818,484.318181818182,355.818181818182,187.227272727273,193.363636363636,42.3636363636364,71.9545454545455,103.5,17.7727272727273,8.04545454545455,16.8636363636364,7.5,42,10.4545454545455,31.9545454545455,43.8636363636364,32.5909090909091,8.5
EN,161.727272727273,19.8636363636364,130.727272727273,138.954545454545,1115.09090909091,161.681818181818,309.136363636364,499.409090909091,607.454545454546,151.681818181818,153.045454545455,167.772727272727,73.7272727272727,62.0454545454546,99.4545454545455,37.1363636363636,39.9090909090909,88.5,43.1818181818182,24.0909090909091,50.1818181818182,11.4090909090909,14.2272727272727,43.3181818181818,47.8636363636364,963.818181818182,1108.04545454545,1053.45454545455,817.5,243.727272727273,207.727272727273,82.5,135.681818181818,192.727272727273,38.1363636363636,10.6818181818182,35.3181818181818,9.13636363636364,50.1363636363636,32.5,50.0909090909091,94.0454545454545,68.5909090909091,15.1818181818182
EP,121,104.5,12.4090909090909,74.6363636363636,835.363636363636,86.2727272727273,139.227272727273,302.909090909091,309.227272727273,95.8181818181818,63.9545454545455,56.5909090909091,30.4545454545455,21.2272727272727,34.0454545454545,12.9545454545455,14.3181818181818,51.3181818181818,24.2727272727273,18.6363636363636,23.8636363636364,11.2272727272727,11,40.3636363636364,14.9090909090909,560.227272727273,687.954545454546,461.363636363636,422.727272727273,122.545454545455,61.9090909090909,32.8636363636364,38.8636363636364,75.0909090909091,7.72727272727273,6.27272727272727,20.5,5.31818181818182,16.2727272727273,9.95454545454546,14.3181818181818,61.1818181818182,30.3636363636364,9.27272727272727
NB,128.136363636364,127.090909090909,74.2727272727273,15.8636363636364,216.590909090909,82.4545454545455,108.227272727273,253.363636363636,255.681818181818,86.4090909090909,75.8636363636364,75.3181818181818,31.9090909090909,24.2727272727273,40.3181818181818,12.6363636363636,21.8636363636364,39.4090909090909,20.4090909090909,24.6363636363636,30.6818181818182,12.5454545454545,10,27.4090909090909,21.0454545454545,723.136363636364,829.727272727273,500.5,550.090909090909,171.090909090909,105.545454545455,40.3636363636364,41.8181818181818,57.5,9.45454545454546,10.4545454545455,15.9545454545455,7.40909090909091,18.9545454545455,7.40909090909091,13.7272727272727,96.3636363636364,39.3636363636364,8.68181818181818
BK,553.045454545455,1143.86363636364,859.136363636364,233.727272727273,45.7727272727273,442.863636363636,514.590909090909,623.772727272727,633.772727272727,357.590909090909,372.090909090909,304.227272727273,215.5,165.454545454545,187,98.3181818181818,166.227272727273,313.409090909091,177.409090909091,165.863636363636,162.227272727273,89.5454545454546,66.4545454545455,64.3181818181818,127.590909090909,1087.68181818182,1100.63636363636,1018.68181818182,920.5,414.409090909091,332.545454545455,164.727272727273,139.045454545455,188.590909090909,38.8636363636364,59.2272727272727,134.772727272727,57.2727272727273,135.636363636364,37.9545454545455,47.3181818181818,170.909090909091,188.590909090909,68.0454545454546
AS,115.272727272727,136.318181818182,83.3636363636364,81.9545454545455,387.772727272727,19.6818181818182,96.9545454545455,269.363636363636,283.5,89.4545454545455,126.136363636364,101.045454545455,52.9090909090909,40,58.2727272727273,29.2727272727273,40.8181818181818,69.9545454545455,30.6818181818182,20.7272727272727,26.2727272727273,11.3636363636364,7.09090909090909,16.8181818181818,37.7272727272727,713.863636363636,809.727272727273,539.136363636364,581.045454545454,257,147.318181818182,40.6363636363636,51.3181818181818,70.9090909090909,12.0909090909091,15.8181818181818,28.2272727272727,7.36363636363636,35.2272727272727,8.86363636363636,16.1818181818182,59.9090909090909,44.8181818181818,10.5909090909091
MA,174.409090909091,300,134.227272727273,107.545454545455,477.636363636364,103.045454545455,25.0909090909091,201.545454545455,264.045454545455,113.045454545455,204.454545454545,190.227272727273,123.090909090909,135.136363636364,140.181818181818,72.0454545454546,89,150.636363636364,157.772727272727,147.272727272727,124.5,63.3181818181818,43.8636363636364,75.2727272727273,79.9545454545455,1058.09090909091,1212.40909090909,978.272727272727,937.363636363636,419.727272727273,259.363636363636,80.5454545454546,116.772727272727,138.863636363636,25.9090909090909,31.2272727272727,67.5454545454546,59.0454545454545,242.545454545455,21.4090909090909,34.2272727272727,111.181818181818,74.7727272727273,28.2727272727273
19,185.454545454545,502.818181818182,300.181818181818,261.454545454545,580.409090909091,267.681818181818,193.590909090909,32.8181818181818,54.5,54.9545454545455,172.863636363636,195.5,226.090909090909,193.863636363636,212.590909090909,159.5,214.681818181818,354.590909090909,337.363636363636,346.045454545455,280.181818181818,160,111.227272727273,176.136363636364,76.9090909090909,1231.81818181818,1344.77272727273,981,1030,463.545454545455,320.363636363636,168.863636363636,138.545454545455,168.863636363636,67,86.5454545454545,203.590909090909,182.818181818182,267.090909090909,67.3636363636364,57.2727272727273,76.3181818181818,127.136363636364,93.0454545454546
12,232.181818181818,605.181818181818,306.909090909091,263.136363636364,571.227272727273,275.590909090909,248.136363636364,45.8181818181818,35.6363636363636,58.7272727272727,253.772727272727,381.318181818182,355.863636363636,361.136363636364,319.772727272727,181.954545454545,250.818181818182,390.227272727273,363.727272727273,344,268.909090909091,151.272727272727,117.5,190.318181818182,114.227272727273,1231.40909090909,1279.40909090909,1102.86363636364,1006.77272727273,369.727272727273,310.5,188.636363636364,167.818181818182,208.5,119.454545454545,105.181818181818,223.909090909091,182.363636363636,351.5,95.9090909090909,86.7727272727273,121.363636363636,154.772727272727,123.636363636364
LM,70.8181818181818,147.227272727273,96.6818181818182,82.6818181818182,360.863636363636,92.7272727272727,109.909090909091,43.9545454545455,55.0909090909091,16.5454545454545,215.863636363636,277.227272727273,317.136363636364,293.136363636364,215.045454545455,116.954545454545,137.272727272727,190.318181818182,37.9545454545455,32.5,38.3636363636364,15,11.2727272727273,46.9090909090909,55.3181818181818,858.727272727273,957.181818181818,779.863636363636,647.363636363636,258.318181818182,160.681818181818,71.5454545454545,94.3636363636364,156.318181818182,11.2727272727273,121.863636363636,194.363636363636,20.0909090909091,69.3636363636364,11.9090909090909,17.8636363636364,34.1818181818182,23.4090909090909,89.5
