,"RM","EN","EP","NB","BK","AS","MA",19,12,"LM","FV","CL","SL","BF","HY","SH","UC","FM","CN","PH","WC","LF","OR","RR","OW","EM","MT","PL","CC",16,24,"GP","BP","DC","CM","CV","ED","NC","WP","SS","SB","SO","MB","WD","OA"
"RM",12.7058823529412,141,111.470588235294,121.823529411765,504.764705882353,126.764705882353,165,161.235294117647,219.705882352941,59.5294117647059,100.411764705882,99.0588235294118,44.8823529411765,39.8823529411765,46.5294117647059,25.3529411764706,23.1176470588235,41.8823529411765,27.7058823529412,13.8823529411765,29.5294117647059,11.1764705882353,9.47058823529412,21.8235294117647,28,326.235294117647,380.294117647059,484.588235294118,347.058823529412,176.823529411765,183.647058823529,42,72.1176470588235,94.3529411764706,17.3529411764706,7.29411764705882,13.4117647058824,7.70588235294118,44.8235294117647,12.1764705882353,30.7058823529412,40.1176470588235,30.2352941176471,7.17647058823529,1.64705882352941
"EN",156.352941176471,19.8823529411765,121,130.117647058824,1052.47058823529,162.294117647059,294.352941176471,492,613.117647058824,152.647058823529,156.647058823529,181.764705882353,72.7647058823529,56.9411764705882,95.4117647058824,38.9411764705882,36.7058823529412,89,40.8823529411765,24.9411764705882,49.8823529411765,13.5882352941176,13.9411764705882,45.2352941176471,48.1764705882353,905.764705882353,1078.52941176471,1036.58823529412,776.588235294118,246.529411764706,198.941176470588,77.4117647058823,120.529411764706,165.411764705882,37.7647058823529,9.11764705882353,36.1176470588235,10.9411764705882,42.1764705882353,30.1176470588235,48.9411764705882,93.6470588235294,72.1764705882353,15,7.11764705882353
"EP",119.352941176471,100.235294117647,11.0588235294118,80.4117647058824,784.882352941176,83.6470588235294,143.352941176471,292.058823529412,308.647058823529,91.3529411764706,58.3529411764706,71.1176470588235,31.5294117647059,20.5294117647059,31.7058823529412,12.1176470588235,14.4705882352941,48.2941176470588,21.8235294117647,19.4117647058824,24.4117647058823,12,11.4705882352941,40.0588235294118,17.9411764705882,542.117647058824,668.117647058824,450.941176470588,386,107.647058823529,59.9411764705882,29.4705882352941,36.5294117647059,63.8235294117647,6.70588235294118,5.82352941176471,20.7058823529412,4.76470588235294,17.5882352941177,9.29411764705882,15.5882352941176,57.3529411764706,32.2941176470588,9.23529411764706,6.23529411764706
"NB",122.176470588235,119.823529411765,81.9411764705882,16.5882352941176,207.117647058824,85.3529411764706,106.764705882353,242.470588235294,254.823529411765,90.4117647058824,74.8823529411765,86.3529411764706,34.4117647058824,22.8235294117647,34.4117647058824,12.4705882352941,19.7647058823529,41.5294117647059,20.1176470588235,23.8823529411765,27.5882352941176,12.4705882352941,12.2941176470588,27.2352941176471,22.2941176470588,707.823529411765,812.941176470588,490.294117647059,526.176470588235,169.588235294118,95.5882352941176,41.4117647058824,42,50.9411764705882,8.64705882352941,11.0588235294118,18.4117647058824,7.41176470588235,16.2941176470588,6.64705882352941,14.2941176470588,89.7058823529412,39.1764705882353,9.64705882352941,5.64705882352941
"BK",530.882352941176,1097.52941176471,818.352941176471,230.823529411765,41,427.058823529412,504.588235294118,585.882352941176,609.352941176471,327.588235294118,357.294117647059,280.647058823529,197,151.764705882353,173.823529411765,103.823529411765,158.411764705882,307.352941176471,165.705882352941,162.823529411765,155.588235294118,88,63.7647058823529,62.1764705882353,115.647058823529,1014.05882352941,1040.88235294118,1008.52941176471,839.470588235294,374,311.352941176471,154.235294117647,124.117647058824,154.647058823529,37,56,125.529411764706,55.0588235294118,130.058823529412,37.6470588235294,44.0588235294118,170.529411764706,177.588235294118,62.5294117647059,11
"AS",116.529411764706,132.470588235294,76.6470588235294,85.1176470588235,380.529411764706,18.7647058823529,101.058823529412,265.705882352941,278.176470588235,88.1176470588235,129.058823529412,104.588235294118,46.1176470588235,37.4705882352941,51.6470588235294,28.5882352941176,40.5294117647059,68.7058823529412,29.8235294117647,24.0588235294118,24,12,7.70588235294118,18.2352941176471,35.9411764705882,694.529411764706,803,542.705882352941,556.352941176471,254.529411764706,140.411764705882,37.0588235294118,46.7647058823529,59.5882352941177,13.1176470588235,16.2941176470588,29.2352941176471,7.52941176470588,30.6470588235294,9.94117647058824,16.2352941176471,55.1764705882353,44.3529411764706,11.7058823529412,3.88235294117647
"MA",182.764705882353,289.941176470588,129.470588235294,104.176470588235,457.352941176471,101.529411764706,23.3529411764706,197.941176470588,266.588235294118,105.941176470588,206.235294117647,206.058823529412,119.058823529412,127.352941176471,137.882352941176,71.2352941176471,89.6470588235294,139.058823529412,148.352941176471,142.058823529412,123.647058823529,58.8235294117647,40.7058823529412,75.1176470588235,74.0588235294118,1027.70588235294,1210.11764705882,959.705882352941,912.588235294118,385.411764705882,239.882352941176,86.7058823529412,108.529411764706,123.411764705882,26.0588235294118,26.6470588235294,69.5882352941177,56.4117647058824,234.117647058824,20.9411764705882,37.5882352941176,99.2352941176471,71.5294117647059,29.8235294117647,5.35294117647059
19,182.647058823529,497.176470588235,295.941176470588,244.823529411765,568.176470588235,262.411764705882,190.882352941176,27.1764705882353,52.5882352941177,51,179.588235294118,202.764705882353,214.705882352941,187,214.647058823529,151.823529411765,214.117647058824,362.352941176471,322.705882352941,335.470588235294,281.764705882353,149,109.294117647059,164,80.9411764705882,1213.11764705882,1342.41176470588,965,978.411764705882,431.764705882353,306.294117647059,156.882352941176,134,160.470588235294,67.7647058823529,88.5882352941177,210.823529411765,181.941176470588,267.882352941176,69.8823529411765,56.9411764705882,70.7647058823529,131.058823529412,94.5882352941177,4.11764705882353
12,227,613.588235294118,301.470588235294,268.588235294118,557.529411764706,273.352941176471,260.882352941176,46.1764705882353,31.9411764705882,54.7647058823529,257.529411764706,394.823529411765,345.294117647059,353.058823529412,320.058823529412,184.882352941176,241.764705882353,378.705882352941,348.647058823529,339.411764705882,267.588235294118,153.470588235294,114.411764705882,184.941176470588,111.588235294118,1180.58823529412,1236.11764705882,1022.17647058824,973.941176470588,350.411764705882,316.764705882353,178.352941176471,167.588235294118,199.294117647059,117.705882352941,113.294117647059,225.411764705882,174.117647058824,360.470588235294,90.1764705882353,85.9411764705882,114.058823529412,157.705882352941,119.235294117647,4.94117647058824
"LM",64.4117647058823,149.294117647059,93,86,311.941176470588,85.7647058823529,106.235294117647,43.7058823529412,55.1176470588235,19.9411764705882,210.294117647059,311.941176470588,316.882352941176,292.352941176471,206.941176470588,111.352941176471,136.823529411765,177.647058823529,40.5882352941176,31.4117647058824,37.9411764705882,14.4705882352941,10.4117647058824,45.1176470588235,53.1176470588235,818.823529411765,945,789.647058823529,619.176470588235,252.882352941176,149.764705882353,66.1176470588235,95.7647058823529,142.058823529412,14.7647058823529,109.588235294118,179.705882352941,17.2941176470588,64.5294117647059,13,17.4705882352941,32.4705882352941,26.2352941176471,95.2352941176471,4.41176470588235
