,RM,EN,EP,NB,BK,AS,MA,19,12,LM,FV,CL,SL,BF,HY,SH,UC,FM,CN,PH,WC,LF,OR,RR,OW,EM,MT,PL,CC,16,24,GP,BP,DC,CM,CV,ED,NC,WP,SS,SB,SO,MB,WD,OA
RM,15.8947368421053,130.421052631579,105,103.894736842105,405.578947368421,110.105263157895,145.947368421053,157.157894736842,205.736842105263,48,92.1578947368421,83.1052631578947,40.7368421052632,39.0526315789474,36,21.8421052631579,22.2105263157895,37.8421052631579,28.2631578947368,12.4210526315789,18.5263157894737,9.31578947368421,9.05263157894737,20,28.1578947368421,321.789473684211,368.368421052632,495.21052631579,328.842105263158,164.315789473684,162.421052631579,38.7894736842105,59.2631578947368,78.2631578947368,18.2631578947368,6.47368421052632,14.0526315789474,7.8421052631579,43.8421052631579,11.7368421052632,30.1052631578947,45.421052631579,29.4736842105263,6.8421052631579,10.2105263157895
EN,139.894736842105,21.7368421052632,113.315789473684,115.421052631579,838.052631578947,152.631578947368,278,458.473684210526,577,113.578947368421,134.631578947368,147.210526315789,66,55.2105263157895,69.3157894736842,37,38.3684210526316,79.6842105263158,37,22.2105263157895,49,11.5263157894737,9.89473684210526,39.0526315789474,46.7894736842105,893.315789473684,1006.89473684211,1110.31578947368,739.789473684211,221.157894736842,186.631578947368,74.7368421052632,104.315789473684,141.684210526316,38.8947368421053,7.68421052631579,32.8947368421053,8.73684210526316,41.0526315789474,27.2105263157895,47.0526315789474,96.5263157894737,58.8421052631579,15.2631578947368,32.8421052631579
EP,111.894736842105,94.0526315789474,14.9473684210526,71.9473684210526,643.368421052632,78.6315789473684,131,267.263157894737,293.052631578947,70.8421052631579,54.5789473684211,56.1578947368421,29.6842105263158,18.9473684210526,23.6315789473684,8.10526315789474,13.5789473684211,43.0526315789474,17.1052631578947,15.1578947368421,22.3157894736842,9.68421052631579,10.7894736842105,35.4210526315789,20.3157894736842,532.052631578947,621.421052631579,507.736842105263,387.210526315789,100.421052631579,55.5263157894737,30.3684210526316,27.2105263157895,54.2105263157895,6,5.73684210526316,20.5263157894737,4.8421052631579,17.9473684210526,8.52631578947369,17.6842105263158,65.3157894736842,28.1052631578947,9.89473684210526,29.1052631578947
NB,101.736842105263,105.210526315789,73.6842105263158,21.7894736842105,179,70.421052631579,99.3684210526316,218.315789473684,239.842105263158,65.421052631579,67.6315789473684,68,27.3684210526316,22.8947368421053,23.0526315789474,11.6315789473684,18,35.8421052631579,19.2105263157895,21.6842105263158,23.8947368421053,11.2105263157895,8.78947368421053,24.3684210526316,17.7368421052632,674.263157894737,738.421052631579,547.157894736842,471.052631578947,152.052631578947,92.9473684210526,38.8947368421053,33.1052631578947,45.1578947368421,8.21052631578947,9.1578947368421,17.0526315789474,6.31578947368421,18.3157894736842,6.94736842105263,13.6842105263158,96.0526315789474,39,7.68421052631579,35
BK,444.157894736842,875.105263157895,661.473684210526,193.894736842105,38.8947368421053,376.315789473684,424.368421052632,490.263157894737,491.421052631579,214.105263157895,292.894736842105,181.947368421053,152,125.526315789474,142.421052631579,79.2105263157895,119.052631578947,243.157894736842,135.684210526316,140.105263157895,132.315789473684,76.8947368421053,55.2105263157895,52.4210526315789,100.052631578947,827.421052631579,836.473684210526,963.842105263158,671.473684210526,289.473684210526,249.263157894737,124.263157894737,95.3157894736842,120.315789473684,31.3684210526316,46.5263157894737,107.578947368421,46,106.789473684211,28.1052631578947,34.0526315789474,185.526315789474,142.736842105263,56.1578947368421,93.8947368421053
AS,101,124.736842105263,75.6842105263158,68.5789473684211,340.473684210526,23,102.421052631579,237.157894736842,259.526315789474,60.5789473684211,115.105263157895,90.8421052631579,39.2105263157895,36,43.421052631579,26.5789473684211,38.8947368421053,61.9473684210526,29,22.6842105263158,23.6315789473684,8.36842105263158,6.57894736842105,18.0526315789474,34.2105263157895,645.684210526316,709.105263157895,562,502.526315789474,229.105263157895,127.368421052632,33.7368421052632,36.6315789473684,50.3157894736842,9.42105263157895,15.0526315789474,26.8947368421053,6.63157894736842,25.4210526315789,10.7368421052632,16.7368421052632,66.4210526315789,41.7894736842105,11.9473684210526,31.7368421052632
MA,167.105263157895,277.157894736842,121.105263157895,90,386.736842105263,106.105263157895,29.7368421052632,189.105263157895,255.052631578947,80.5263157894737,180,178,111.526315789474,117.157894736842,125.157894736842,61,80.8421052631579,126.473684210526,134.368421052632,134.421052631579,115.684210526316,52.3157894736842,38.1578947368421,71.0526315789474,76.8421052631579,942.21052631579,1080.36842105263,967.157894736842,832.578947368421,358.315789473684,226.631578947368,79.4736842105263,97.1578947368421,101.631578947368,27.6842105263158,27.5263157894737,69.8421052631579,50.6315789473684,228.947368421053,21.2105263157895,34.9473684210526,117.105263157895,66.8947368421053,28.7368421052632,37.6315789473684
19,174.368421052632,463.789473684211,263.526315789474,223.473684210526,465.473684210526,243.421052631579,178.684210526316,36.8421052631579,56.3684210526316,40.4736842105263,169.894736842105,178.052631578947,203.947368421053,172.105263157895,188.789473684211,157.421052631579,198.526315789474,320.947368421053,295.157894736842,309.210526315789,253.894736842105,134.789473684211,91.8421052631579,158.894736842105,74.8421052631579,1061.73684210526,1170.36842105263,938.368421052632,849.473684210526,376.052631578947,256,142.368421052632,116.842105263158,138.736842105263,59.4736842105263,80.3157894736842,189.157894736842,152.157894736842,260.736842105263,63.6315789473684,52.4736842105263,80.421052631579,119.842105263158,89.7894736842105,36.0526315789474
12,218.473684210526,576.263157894737,282.263157894737,241.210526315789,437.315789473684,261.631578947368,242.631578947368,52.5263157894737,40.8947368421053,53.9473684210526,232.263157894737,331.263157894737,314.631578947368,339.263157894737,286.736842105263,176.894736842105,237,341.736842105263,330.315789473684,312.78947368421,252.473684210526,141.789473684211,105.894736842105,170.157894736842,108.684210526316,1083.57894736842,1107.52631578947,1005.63157894737,884.421052631579,318.263157894737,284.315789473684,171.157894736842,147.368421052632,176.894736842105,111.736842105263,111.789473684211,223.210526315789,164.473684210526,356.526315789474,83.3684210526316,86.5263157894737,117.315789473684,148.473684210526,121.315789473684,45.8421052631579
LM,47.7368421052632,107.421052631579,69.5263157894737,64.0526315789474,194.105263157895,61.7368421052632,77.4736842105263,38.2105263157895,51.4736842105263,17.5789473684211,160.947368421053,238,247.789473684211,239.631578947368,160.894736842105,101.210526315789,112.578947368421,165.894736842105,37.3684210526316,26,29.2105263157895,11.9473684210526,7.78947368421053,35.4210526315789,44.2631578947368,758.842105263158,848.631578947368,784.421052631579,561.947368421053,220.263157894737,128.526315789474,61.5263157894737,79,114.473684210526,9.52631578947369,97.9473684210526,158.947368421053,17.4210526315789,53.5263157894737,9.94736842105263,14.5789473684211,35.7368421052632,23.1578947368421,85.7894736842105,26.0526315789474
FV,89,131.421052631579,59.4736842105263,76.7894736842105,287.473684210526,117.315789473684,185.894736842105,180.789473684211,248.947368421053,152.789473684211,26.2631578947368,280.368421052632,234.210526315789,251.263157894737,223.473684210526,94.2631578947368,78.3684210526316,158.421052631579,49.3684210526316,24.6315789473684,40.2105263157895,22,25,57,115.210526315789,828.894736842105,950.157894736842,1048.57894736842,840,294,210.315789473684,60.6315789473684,87.1578947368421,137.631578947368,17.7368421052632,60.421052631579,113.157894736842,12.3684210526316,62.9473684210526,14.6315789473684,35.0526315789474,66.8421052631579,32.5263157894737,58.8947368421053,11.8947368421053
CL,83.3684210526316,158.894736842105,55.421052631579,62.8947368421053,192,100.631578947368,191.684210526316,218.842105263158,356.421052631579,227.473684210526,289.842105263158,27.6842105263158,165.736842105263,219.526315789474,205.736842105263,103.421052631579,123.631578947368,264.894736842105,61.8947368421053,47.2105263157895,59.4210526315789,35.3684210526316,23.2105263157895,59.2105263157895,119.631578947368,592.578947368421,586.157894736842,644.842105263158,480.368421052632,164.210526315789,140.157894736842,82.6842105263158,76.6842105263158,159.157894736842,26.5263157894737,70.6315789473684,202.052631578947,22.1578947368421,110.947368421053,26.2105263157895,45.2631578947368,34.2631578947368,42.1578947368421,93,30.6842105263158
SL,48.3684210526316,68.8947368421053,31.7368421052632,28.4210526315789,151.210526315789,46.6842105263158,128.210526315789,214.894736842105,321.947368421053,235.894736842105,236.789473684211,177,21.1578947368421,128,178.578947368421,80.9473684210526,80.0526315789474,135.684210526316,37,21.8421052631579,24.6315789473684,10.2631578947368,7.94736842105263,27,50.8421052631579,676.578947368421,658.684210526316,631.631578947368,456.947368421053,132,90.3157894736842,38.3684210526316,57.1052631578947,81.3157894736842,9.78947368421053,43.421052631579,84.7368421052632,8.36842105263158,48.6842105263158,14.7894736842105,19.3157894736842,45.5789473684211,19.3157894736842,61.2105263157895,10.3684210526316
BF,40.3684210526316,53.2631578947368,18.0526315789474,24.2631578947368,126,38.3684210526316,121.894736842105,187.684210526316,341.842105263158,237.526315789474,251.105263157895,228.157894736842,126.684210526316,20.1052631578947,165.105263157895,90.8421052631579,129.894736842105,241.263157894737,24.1052631578947,15.1052631578947,20.4736842105263,6.68421052631579,5.94736842105263,15.7368421052632,47.7368421052632,634.105263157895,645,613.578947368421,421.578947368421,121.894736842105,69,28.9473684210526,45.8421052631579,82.2631578947368,9.26315789473684,63.5263157894737,185.684210526316,5,28.1052631578947,9.8421052631579,18.8421052631579,26.2105263157895,9.63157894736842,119.684210526316,8.52631578947369
HY,43.8421052631579,75.6842105263158,23.4736842105263,25.4210526315789,136.684210526316,48.5789473684211,121.315789473684,202.473684210526,289.947368421053,152.684210526316,226.421052631579,205.263157894737,178.578947368421,184.684210526316,24.6315789473684,102.684210526316,196.789473684211,327.631578947368,25.9473684210526,23.6842105263158,21.5789473684211,5.94736842105263,5.05263157894737,17.2105263157895,41.2105263157895,457,458.578947368421,384.210526315789,298.263157894737,90,60.3684210526316,28.8421052631579,38.4736842105263,52.1052631578947,8.63157894736842,25.7894736842105,65.7894736842105,12.1052631578947,46.1578947368421,6.31578947368421,16.3684210526316,23.5263157894737,7.94736842105263,47.7894736842105,12.4736842105263
SH,20.1578947368421,35.3157894736842,7.8421052631579,12.8421052631579,74.3684210526316,21.6315789473684,57.3157894736842,149.210526315789,156.736842105263,95.5263157894737,95.8947368421053,95.5263157894737,71.5789473684211,87.3684210526316,92.7894736842105,11.8947368421053,82.8421052631579,175.842105263158,13.3684210526316,9.26315789473684,10.5789473684211,4.57894736842105,2.52631578947368,8.31578947368421,17.3157894736842,373.473684210526,353.473684210526,269.947368421053,216.052631578947,65.1578947368421,47.5263157894737,14.3684210526316,19.2631578947368,41,5,18.7894736842105,34.2631578947368,3.15789473684211,18.6842105263158,8.10526315789474,9.52631578947369,14.6842105263158,9.1578947368421,24.7368421052632,6.94736842105263
UC,23.1052631578947,41.4736842105263,15.3684210526316,19.7368421052632,115.947368421053,40.1578947368421,83,194.368421052632,219.157894736842,109.368421052632,85.1578947368421,120.789473684211,88.2105263157895,143.210526315789,202.157894736842,81.5789473684211,22.4736842105263,187.473684210526,21.3157894736842,15.7368421052632,14.2105263157895,2.52631578947368,4.26315789473684,11.4210526315789,11.3684210526316,796.421052631579,719.052631578947,439.105263157895,297.210526315789,63.8947368421053,26.9473684210526,13.7894736842105,20.9473684210526,58.4736842105263,7.42105263157895,21,62.4210526315789,3,21.6842105263158,5.73684210526316,7.31578947368421,27.0526315789474,6.73684210526316,28.578947368421,16.421052631579
FM,39.8421052631579,83.8421052631579,43.5789473684211,40.2631578947368,242.736842105263,64.1578947368421,128.421052631579,316.368421052632,328.368421052632,157.21052631579,167.105263157895,265.210526315789,144.894736842105,264.578947368421,361.684210526316,193.526315789474,199.105263157895,56.4736842105263,31.1578947368421,36,25.3157894736842,12.6315789473684,13.1578947368421,33.9473684210526,26.4736842105263,1590.78947368421,1356.05263157895,670.157894736842,425.105263157895,107.421052631579,57.6315789473684,29.1578947368421,34.7894736842105,83.3157894736842,8.26315789473684,42.1578947368421,87.3157894736842,12.2631578947368,51.0526315789474,7.8421052631579,10.3684210526316,61.6315789473684,8.36842105263158,40.6315789473684,35.0526315789474
